Time 	 Pressure (barg) 	 n_excess (mmol/g) 	 n_abs (mmol/g) 
14-Jul-17 15:13:54 	 2.008900 	 0.039345 	 0.039465 
14-Jul-17 15:13:55 	 2.010013 	 0.039256 	 0.039376 
14-Jul-17 15:13:56 	 2.017088 	 0.038688 	 0.038807 
14-Jul-17 15:13:57 	 2.009712 	 0.039280 	 0.039400 
14-Jul-17 15:13:58 	 2.025200 	 0.038037 	 0.038155 
14-Jul-17 15:13:59 	 2.024796 	 0.038070 	 0.038187 
14-Jul-17 15:14:00 	 2.020419 	 0.038421 	 0.038539 
14-Jul-17 15:14:01 	 2.025262 	 0.038032 	 0.038150 
14-Jul-17 15:14:02 	 2.035443 	 0.037216 	 0.037331 
14-Jul-17 15:14:03 	 2.043081 	 0.036603 	 0.036717 
14-Jul-17 15:14:04 	 2.052261 	 0.035867 	 0.035979 
14-Jul-17 15:14:05 	 2.046451 	 0.036333 	 0.036446 
14-Jul-17 15:14:06 	 2.059241 	 0.035307 	 0.035418 
14-Jul-17 15:14:07 	 2.060758 	 0.035185 	 0.035296 
14-Jul-17 15:14:08 	 2.052653 	 0.035835 	 0.035947 
14-Jul-17 15:14:09 	 2.066875 	 0.034694 	 0.034804 
14-Jul-17 15:14:10 	 2.059213 	 0.035309 	 0.035420 
14-Jul-17 15:14:11 	 2.080100 	 0.033634 	 0.033740 
14-Jul-17 15:14:12 	 2.067754 	 0.034624 	 0.034733 
14-Jul-17 15:14:13 	 2.073553 	 0.034159 	 0.034267 
14-Jul-17 15:14:14 	 2.088966 	 0.032922 	 0.033027 
14-Jul-17 15:14:15 	 2.088632 	 0.032949 	 0.033054 
14-Jul-17 15:14:16 	 2.089121 	 0.032910 	 0.033015 
14-Jul-17 15:14:17 	 2.102379 	 0.031846 	 0.031948 
