Time 	 Pressure (barg) 	 n_excess (mmol/g) 	 n_abs (mmol/g) 
14-Jul-17 15:54:06 	 2.010679 	 0.007782 	 0.007807 
14-Jul-17 15:54:07 	 2.006424 	 0.007851 	 0.007876 
14-Jul-17 15:54:08 	 2.020727 	 0.007620 	 0.007645 
14-Jul-17 15:54:09 	 2.006358 	 0.007852 	 0.007877 
14-Jul-17 15:54:10 	 2.030096 	 0.007469 	 0.007494 
14-Jul-17 15:54:11 	 2.031165 	 0.007452 	 0.007477 
14-Jul-17 15:54:12 	 2.026918 	 0.007521 	 0.007545 
14-Jul-17 15:54:13 	 2.041526 	 0.007285 	 0.007309 
14-Jul-17 15:54:14 	 2.039002 	 0.007326 	 0.007350 
14-Jul-17 15:54:15 	 2.035753 	 0.007378 	 0.007403 
14-Jul-17 15:54:16 	 2.052543 	 0.007108 	 0.007131 
14-Jul-17 15:54:17 	 2.054688 	 0.007073 	 0.007097 
14-Jul-17 15:54:18 	 2.045564 	 0.007220 	 0.007244 
14-Jul-17 15:54:19 	 2.054667 	 0.007074 	 0.007097 
14-Jul-17 15:54:20 	 2.067957 	 0.006860 	 0.006883 
14-Jul-17 15:54:21 	 2.071096 	 0.006809 	 0.006832 
14-Jul-17 15:54:22 	 2.076522 	 0.006722 	 0.006744 
14-Jul-17 15:54:23 	 2.064339 	 0.006918 	 0.006941 
14-Jul-17 15:54:24 	 2.077813 	 0.006701 	 0.006724 
14-Jul-17 15:54:25 	 2.073849 	 0.006765 	 0.006788 
14-Jul-17 15:54:26 	 2.076613 	 0.006720 	 0.006743 
14-Jul-17 15:54:27 	 2.080686 	 0.006655 	 0.006677 
14-Jul-17 15:54:28 	 2.098616 	 0.006366 	 0.006388 
